产品ID,公司名称,产品规格,阶梯价格,有效期,限购或库存,已售订单,价格,总销量
252898882,容易采,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-02,996,384,12.7,4220
194542529,洁玲,300ml,数量：6*价格：12.69,2025-06-15,1000,41,12.69,431
259999105,洁玲,300ml,数量：6*价格：12.69,2025-06-15,1000,7,12.69,66
194542530,洁玲,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-06-15,1000,113,12.7,1004
262442326,洁玲,300ml,数量：7*价格：12.69,2025-06-15,1000,6,12.69,67
260025761,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,921,11,12.77,78
194542532,洁玲,300ml,"数量：6*价格：12.69,数量：100*价格：12.68",2025-06-15,1000,95,12.69,942
194542531,洁玲,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-06-15,1000,6,12.7,40
263157399,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,4967,4,12.77,33
262561864,容易采,300ml,"数量：6*价格：12.68,数量：50*价格：12.67",2025-09-02,1000,5,12.68,30
269942947,康汇,300ml,数量：6*价格：12.7,2025-09-30,12,1,12.7,12
259687458,江西瀚霆药业,300ml,"数量：6*价格：12.71,数量：30*价格：12.6",2025-06-17,987,2,12.71,12
255206152,江西瀚霆药业,300ml,数量：6*价格：12.71,2025-06-16,999,13,12.71,168
267313719,耀都云杉,300ml,数量：6*价格：12.85,2025-06-16,200,1,12.85,10
208770626,金色天源,300ml,"数量：6*价格：13.2,数量：50*价格：13.0",2025-08-18,382,6,13.2,68
195116129,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,915,12,12.77,84
206648816,康达人,300ml,数量：6*价格：12.99,2025-07-16,6,167,12.99,1031
211928382,杭州品正生物科技,300ml,数量：6*价格：13.3,2025-03-22,640,11,13.3,98
236089646,广东康城,300ml,数量：20*价格：4.0,2025-02-04,99990,0,4.0,0
258201848,众耀旗舰店,300ml,"数量：5*价格：6.86,数量：10*价格：6.8,数量：20*价格：6.6,数量：100*价格：5.99",2026-10-10,1000,0,6.86,0
259915932,洁玲,300ml,数量：5*价格：9.8,2024-02-29,1000,0,9.8,0
250299826,洁玲,300ml,数量：5*价格：9.8,2024-02-29,1045,1,9.8,5
268726472,容易采,300ml,"数量：6*价格：12.7,数量：50*价格：12.69",2025-09-02,96,0,12.7,0
209051436,康汇,300ml,数量：6*价格：12.7,2025-09-30,12,0,12.7,0
260268874,江西瀚霆药业,300ml,"数量：6*价格：12.71,数量：50*价格：12.58",2025-06-16,999,0,12.71,0
247907221,洁玲,300ml,"数量：6*价格：12.71,数量：50*价格：12.69",2025-06-15,1000,0,12.71,0
194537974,五行医药,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
194530052,天福旗舰店,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
194520874,华佗,300ml,数量：7*价格：12.72,2024-09-01,50,0,12.72,0
260228802,耀都云杉,300ml,数量：6*价格：12.75,2025-06-16,200,8,12.75,88
263157397,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,5000,0,12.77,0
260024267,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,4994,1,12.77,6
195116130,湖南德康堂,300ml,数量：6*价格：12.77,2025-06-15,847,16,12.77,152
194257762,东莞千吉惠,300ml,数量：6*价格：12.8,2024-12-22,200,5,12.8,48
260149897,耀都云杉,300ml,数量：6*价格：12.85,2025-06-16,200,0,12.85,0
250500496,耀都云杉,300ml,数量：6*价格：12.85,2025-06-16,200,0,12.85,0
